lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order
afternoon	nf_1857_753133.txt-1759-5	fic_1852_9832.txt-757-5	3.6666666666666665	fic_1845_7170.txt-9891-50	4.0	fic_1997_54614.txt-159-18	4.0	nf_1970_774329.txt-642-27	3.5	['fic_1845_7170.txt-9891-50', 'fic_1997_54614.txt-159-18', 'fic_1852_9832.txt-757-5', 'nf_1970_774329.txt-642-27']
afternoon	fic_1852_9832.txt-757-5	fic_2001_29742.txt-130-10	4.0	fic_1848_7193.txt-9645-37	3.5	fic_1845_7103.txt-562-47	4.0	fic_1969_10520.txt-3371-43	3.5	['fic_2001_29742.txt-130-10', 'fic_1845_7103.txt-562-47', 'fic_1848_7193.txt-9645-37', 'fic_1969_10520.txt-3371-43']
afternoon	nf_1849_762578.txt-1803-0	fic_1852_9832.txt-757-5	4.0	fic_1860_2807.txt-3507-26	4.0	fic_1987_780057.txt-318-5	4.0	nf_1834_755185.txt-2925-9	4.0	['fic_1852_9832.txt-757-5', 'fic_1860_2807.txt-3507-26', 'fic_1987_780057.txt-318-5', 'nf_1834_755185.txt-2925-9']
afternoon	nf_1834_755185.txt-2925-9	fic_1971_14051.txt-667-2	4.0	fic_1966_781993.txt-4419-9	4.0	mag_1855_556005.txt-194-2	4.0	mag_1984_432163.txt-74-2	4.0	['fic_1971_14051.txt-667-2', 'fic_1966_781993.txt-4419-9', 'mag_1855_556005.txt-194-2', 'mag_1984_432163.txt-74-2']
afternoon	fic_1850_2310.txt-1321-9	fic_1825_7041.txt-1647-2	3.5	nf_1985_774130.txt-1657-18	3.0	mag_1992_61830.txt-0-30	4.0	fic_1849_7218.txt-3369-36	4.0	['mag_1992_61830.txt-0-30', 'fic_1849_7218.txt-3369-36', 'fic_1825_7041.txt-1647-2', 'nf_1985_774130.txt-1657-18']
afternoon	fic_1851_3300.txt-1083-18	mag_1855_556005.txt-194-2	4.0	fic_1849_2605.txt-1007-13	4.0	fic_1993_25029.txt-3169-3	4.0	fic_1987_780057.txt-318-5	4.0	['mag_1855_556005.txt-194-2', 'fic_1849_2605.txt-1007-13', 'fic_1993_25029.txt-3169-3', 'fic_1987_780057.txt-318-5']
afternoon	fic_1825_7041.txt-1647-2	mag_1979_431971.txt-179-14	4.0	fic_1996_54472.txt-133-9	4.0	fic_1853_1170.txt-1796-2	4.0	fic_1853_7732.txt-4-29	4.0	['mag_1979_431971.txt-179-14', 'fic_1996_54472.txt-133-9', 'fic_1853_1170.txt-1796-2', 'fic_1853_7732.txt-4-29']
afternoon	mag_1855_556005.txt-194-2	fic_1993_1040092.txt-5145-7	3.0	mag_1845_587596.txt-153-9	2.0	fic_1967_10491.txt-4998-1	4.0	fic_1851_3300.txt-1083-18	4.0	['fic_1967_10491.txt-4998-1', 'fic_1851_3300.txt-1083-18', 'fic_1993_1040092.txt-5145-7', 'mag_1845_587596.txt-153-9']
afternoon	fic_1853_7732.txt-4-29	fic_1825_7041.txt-1647-2	4.0	nf_2005_775713.txt-23-7	4.0	fic_1853_4303.txt-2902-31	4.0			['fic_1825_7041.txt-1647-2', 'nf_2005_775713.txt-23-7', 'fic_1853_4303.txt-2902-31']
afternoon	fic_1854_5388.txt-1142-35	fic_1992_40272.txt-627-18	4.0	nf_1834_755185.txt-2925-9	3.5	mag_2006_384315.txt-6-13	4.0	fic_1988_10770.txt-925-3	4.0	['fic_1992_40272.txt-627-18', 'mag_2006_384315.txt-6-13', 'fic_1988_10770.txt-925-3', 'nf_1834_755185.txt-2925-9']
afternoon	fic_1846_7036.txt-2381-16	fic_1827_9758.txt-5747-16	4.0	fic_1835_7268.txt-820-3	4.0	fic_1987_10764.txt-9951-7	4.0	fic_1971_782005.txt-463-14	4.0	['fic_1827_9758.txt-5747-16', 'fic_1835_7268.txt-820-3', 'fic_1987_10764.txt-9951-7', 'fic_1971_782005.txt-463-14']
afternoon	fic_2007_34112.txt-95-13	fic_1854_5388.txt-1142-35	3.0	fic_1968_10504.txt-1024-20	4.0	nf_1839_747920.txt-1978-13	4.0	fic_1971_782009.txt-2373-20	4.0	['fic_1968_10504.txt-1024-20', 'nf_1839_747920.txt-1978-13', 'fic_1971_782009.txt-2373-20', 'fic_1854_5388.txt-1142-35']
afternoon	fic_1997_54614.txt-159-18	mag_1983_326806.txt-11-8	4.0	nf_1857_753133.txt-1759-5	4.0	fic_1852_69.txt-6782-7	4.0	nf_2005_775713.txt-23-7	4.0	['mag_1983_326806.txt-11-8', 'nf_1857_753133.txt-1759-5', 'fic_1852_69.txt-6782-7', 'nf_2005_775713.txt-23-7']
afternoon	mag_1980_491790.txt-342-2	fic_1845_7262.txt-903-32	4.0	fic_1842_7206.txt-3926-5	4.0	nf_1857_753133.txt-1759-5	4.0	fic_1987_780058.txt-2587-3	4.0	['fic_1845_7262.txt-903-32', 'fic_1842_7206.txt-3926-5', 'nf_1857_753133.txt-1759-5', 'fic_1987_780058.txt-2587-3']
afternoon	fic_1992_40272.txt-627-18	fic_1851_3300.txt-1083-18	3.0	fic_1984_14628.txt-868-5	4.0	fic_1860_9817.txt-1654-35	3.6666666666666665	fic_1977_780102.txt-1079-6	3.6666666666666665	['fic_1984_14628.txt-868-5', 'fic_1860_9817.txt-1654-35', 'fic_1977_780102.txt-1079-6', 'fic_1851_3300.txt-1083-18']
afternoon	fic_1988_10770.txt-925-3	fic_1850_2310.txt-1321-9	4.0	fic_1844_7135.txt-185-2	4.0	mag_1855_556005.txt-194-2	4.0	fic_1854_5388.txt-1142-35	4.0	['fic_1850_2310.txt-1321-9', 'fic_1844_7135.txt-185-2', 'mag_1855_556005.txt-194-2', 'fic_1854_5388.txt-1142-35']
afternoon	fic_2008_36241.txt-90-1	nf_1854_750816.txt-2503-1	4.0	news_1961_721976.txt-28-1	4.0	fic_1962_14199.txt-2624-7	4.0	fic_1858_9768.txt-412-5	4.0	['nf_1854_750816.txt-2503-1', 'news_1961_721976.txt-28-1', 'fic_1962_14199.txt-2624-7', 'fic_1858_9768.txt-412-5']
afternoon	fic_1971_14051.txt-667-2	fic_1855_2965.txt-316-18	3.0	mag_1980_491790.txt-342-2	4.0	fic_1851_3300.txt-1083-18	3.0	fic_1987_780057.txt-318-5	4.0	['mag_1980_491790.txt-342-2', 'fic_1987_780057.txt-318-5', 'fic_1855_2965.txt-316-18', 'fic_1851_3300.txt-1083-18']
afternoon	nf_2006_776561.txt-30-8	mag_2006_383515.txt-66-2	4.0	nf_1849_749269.txt-547-35	4.0	fic_1833_7321.txt-162-45	4.0	fic_1857_3100.txt-1597-1	4.0	['mag_2006_383515.txt-66-2', 'nf_1849_749269.txt-547-35', 'fic_1833_7321.txt-162-45', 'fic_1857_3100.txt-1597-1']
afternoon	fic_1987_780057.txt-318-5	nf_1849_762578.txt-1803-0	4.0	fic_1983_782026.txt-2184-5	3.5	fic_1849_7218.txt-2196-17	4.0	fic_1992_40272.txt-627-18	4.0	['nf_1849_762578.txt-1803-0', 'fic_1849_7218.txt-2196-17', 'fic_1992_40272.txt-627-18', 'fic_1983_782026.txt-2184-5']
